trial_id,trial_type,target_side,RT_ms,accuracy,avg_gaze_quality,saccade_velocity,is_flagged_bad
11,Prosaccade,left,40.32,Correct,0.625,29.13,True
12,Antisaccade,right,19.19,Error,0.51,14.12,True
13,Prosaccade,left,49.5,Error,0.617,210.72,True
14,Antisaccade,left,17.91,Correct,0.365,191.92,True
15,Prosaccade,left,275.04,Correct,0.328,0.0,True
16,Prosaccade,left,41.78,Error,0.54,121.33,True
17,Antisaccade,right,44.94,Error,0.226,346.01,True
18,Prosaccade,right,50.82,Correct,0.583,15.23,True
19,Prosaccade,right,43.05,Error,0.65,412.47,True
20,Prosaccade,left,779.09,Error,0.484,35.29,True
21,Prosaccade,left,1007.13,Error,0.45,37.07,True
22,Antisaccade,left,48.61,Error,0.209,104.53,True
23,Antisaccade,right,50.44,Error,0.235,659.65,True
24,Antisaccade,right,681.3,Error,0.198,122.45,True
25,Prosaccade,right,19.64,Correct,0.461,181.86,True
26,Antisaccade,left,15.81,Error,0.204,120.71,True
27,Prosaccade,right,1500.0,Error,0.0,0.0,False
28,Antisaccade,left,783.68,Error,0.158,0.0,True
29,Antisaccade,right,41.11,Correct,0.105,202.72,True
30,Antisaccade,left,48.28,Correct,0.078,179.85,True
31,Antisaccade,right,13.15,Correct,0.32,71.59,True
32,Prosaccade,right,40.84,Correct,0.42,21.08,True
33,Prosaccade,left,40.68,Error,0.568,8.97,True
34,Antisaccade,left,40.71,Correct,0.364,15.02,True
35,Antisaccade,left,50.56,Correct,0.334,20.32,True
36,Prosaccade,left,9.89,Error,0.517,9.33,True
37,Prosaccade,right,49.57,Correct,0.548,11.44,True
38,Prosaccade,right,49.24,Correct,0.539,54.4,True
39,Antisaccade,right,48.11,Correct,0.38,36.89,True
40,Prosaccade,right,16.48,Error,0.448,24.04,True
41,Antisaccade,left,9.63,Error,0.35,39.31,True
42,Antisaccade,left,38.37,Error,0.344,37.27,True
43,Antisaccade,right,11.74,Correct,0.326,3.22,True
44,Antisaccade,left,40.12,Error,0.381,20.82,True
45,Prosaccade,left,43.64,Correct,0.412,40.17,True
46,Antisaccade,right,41.2,Correct,0.395,9.6,True
47,Prosaccade,left,38.05,Error,0.38,8.93,True
48,Prosaccade,right,7.22,Error,0.427,26.0,True
49,Antisaccade,right,43.3,Correct,0.321,16.05,True
